                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4179,                 5.6331,                 4.2268,                0.00012,                0.03268,                  7e-05,                  2e-05,                 3.7142,                 5.1485,                 4.1592,                0.00018,                0.00018,                0.00018
                      2,                 4.0748,                 5.2229,                 4.1569,                0.00012,                0.03268,                  7e-05,                  1e-05,                 3.7016,                 5.1388,                 4.1507,             0.00037624,             0.00037624,             0.00037624
                      3,                  3.802,                 5.0366,                 4.0658,                0.00012,                0.03268,                  7e-05,                  2e-05,                 3.6733,                 5.1121,                 4.1334,             0.00056852,             0.00056852,             0.00056852
                      4,                 3.4297,                 4.8696,                 3.7822,                0.00011,                0.03268,                  6e-05,                  2e-05,                 3.6646,                 5.0168,                  4.122,             0.00075683,             0.00075683,             0.00075683
                      5,                 3.3301,                 4.2789,                 3.6258,                0.00014,                0.03922,                  8e-05,                  2e-05,                 3.7115,                 4.7838,                 4.1475,             0.00094119,             0.00094119,             0.00094119
                      6,                 3.0848,                 3.9688,                 3.2576,                0.00014,                0.03922,                  8e-05,                  2e-05,                 3.5862,                 4.5143,                 4.0934,              0.0011216,              0.0011216,              0.0011216
                      7,                 2.8301,                 3.6894,                 3.1269,                0.00014,                0.03922,                  8e-05,                  2e-05,                 3.6277,                 4.6761,                 4.1321,               0.001298,               0.001298,               0.001298
                      8,                 2.8647,                 3.4447,                 2.9698,                0.00031,                0.03268,                0.00017,                  4e-05,                 3.4182,                 4.5681,                 4.0319,              0.0014705,              0.0014705,              0.0014705
                      9,                 2.8797,                 3.2492,                 2.8428,                0.00032,                0.03268,                0.00017,                  4e-05,                 3.4718,                  4.939,                 3.9442,               0.001639,               0.001639,               0.001639
                     10,                 2.6519,                 3.1176,                 2.8414,                 0.0004,                0.03922,                0.00021,                  5e-05,                 4.0986,                 4.9908,                 4.2972,              0.0018036,              0.0018036,              0.0018036
                     11,                 2.7782,                 2.9995,                 2.8246,                 0.0357,                0.03922,                0.00581,                0.00236,                 3.5584,                 4.7097,                 3.9265,               0.001802,               0.001802,               0.001802
                     12,                  2.485,                 2.8078,                  2.622,                0.02241,                0.13072,                0.01536,                0.00555,                 3.4635,                 4.2593,                 3.8402,               0.001802,               0.001802,               0.001802
                     13,                 2.4129,                  2.738,                 2.5881,                0.15204,                0.11602,                 0.0426,                0.01534,                 2.9469,                 3.9393,                 3.3727,              0.0017822,              0.0017822,              0.0017822
                     14,                  2.521,                 2.6204,                  2.614,                0.18261,                0.20915,                0.10504,                0.04485,                 2.2999,                 4.4485,                 2.7924,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.3735,                 2.3087,                 2.4788,                0.32821,                0.26797,                0.19414,                0.07358,                 2.3453,                 4.1783,                 2.7799,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.2637,                 2.2802,                 2.5644,                0.44532,                0.38562,                0.32169,                0.13638,                 2.1886,                 3.5107,                  2.648,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.3328,                 2.1761,                 2.5049,                0.43503,                0.49673,                0.45108,                0.19353,                 2.1485,                 2.4467,                 2.5802,               0.001703,               0.001703,               0.001703
                     18,                 2.2567,                 2.0712,                 2.3255,                0.40587,                0.56705,                0.39196,                0.15979,                 2.0065,                 2.4421,                 2.4373,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.2502,                 2.0329,                 2.3626,                0.49212,                0.63399,                0.54515,                0.21994,                 2.1452,                  2.279,                 2.5346,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.1198,                 1.9057,                 2.2098,                0.48446,                 0.6019,                0.56591,                0.25492,                 1.9816,                 2.1043,                 2.4194,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.2298,                 2.0094,                 2.3928,                 0.6482,                 0.5817,                0.66626,                0.31806,                 1.8964,                 1.9942,                 2.3658,              0.0016238,              0.0016238,              0.0016238
                     22,                  2.076,                 1.8006,                 2.2187,                0.71487,                 0.6732,                0.78759,                0.41284,                 1.7487,                 1.8141,                 2.2548,               0.001604,               0.001604,               0.001604
