                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6758,                 6.0028,                 4.2294,                0.00014,                0.03922,                  8e-05,                  2e-05,                 3.7136,                 5.1473,                 4.1593,                0.00018,                0.00018,                0.00018
                      2,                  3.577,                 5.8538,                 4.1845,                0.00012,                0.03268,                  7e-05,                  2e-05,                  3.701,                 5.1382,                 4.1538,             0.00034238,             0.00034238,             0.00034238
                      3,                 3.3874,                 5.2493,                 4.0849,                 0.0001,                0.02614,                  5e-05,                  1e-05,                 3.6892,                 5.1223,                 4.1478,             0.00046516,             0.00046516,             0.00046516
                      4,                 3.1942,                 5.0048,                 3.9245,                0.00014,                0.03922,                  8e-05,                  2e-05,                 3.6818,                 5.0659,                  4.145,             0.00054834,             0.00054834,             0.00054834
                      5,                 2.9855,                 4.6688,                  3.691,                0.00016,                0.04575,                  9e-05,                  2e-05,                 3.7013,                 4.9453,                 4.1556,             0.00059192,             0.00059192,             0.00059192
                      6,                  2.962,                 4.4527,                 3.5601,                0.00014,                0.03922,                  8e-05,                  2e-05,                 3.6965,                 4.8675,                 4.1567,              0.0005959,              0.0005959,              0.0005959
                      7,                   2.88,                 4.4665,                 3.4788,                0.00014,                0.03922,                  8e-05,                  2e-05,                 3.6644,                 4.7461,                 4.1378,             0.00056028,             0.00056028,             0.00056028
                      8,                 2.7388,                 4.0396,                 3.2908,                0.00014,                0.03922,                  8e-05,                  2e-05,                 3.6276,                 4.7444,                 4.1091,             0.00048506,             0.00048506,             0.00048506
                      9,                 2.6261,                 3.8711,                 3.2463,                0.00014,                0.03922,                  8e-05,                  2e-05,                 3.5155,                 4.7982,                  4.005,             0.00037024,             0.00037024,             0.00037024
                     10,                 2.6173,                 3.9996,                 3.1092,                0.00015,                0.03922,                  8e-05,                  2e-05,                 3.3746,                 4.7821,                 3.8933,             0.00021582,             0.00021582,             0.00021582
